question_text,answer_text,source
"This large mammal that is called a "" loxodonta africana "",and is also known as the (_____)",African elephant,General
What does UNESCO stand for ?,"United Nation Educational, Scientific and Cultural Organization",General
Which Ex Rich Kid Played With Visage & Ultravox ?,Midge Ure,General
Every year there's a ton of it for every person in the world - what,Cement poured,General
Which detective lived in Cabot Cove Maine,Jessica Fletcher,General
A ________ can eat only when its head is upside down,Flamingo,General
Emperor Claudius passed a law legalising what at banquets,Farting - for public health,General
"Who Declared herself To Be ""Not That Kind Of Girl"" In 2001",Anastacia,General
Where would you find your natal cleft,Arse it’s the crack,General
Approximately what percentage of the earth do the oceans cover?,71,General
Where is mount kennedy ,Yukon ,General
What family is a rhinocerous,Ungulate,General
Fill in the blank: adding insult to____,Injury,General
"What sport originally meant in French, look here",Tennis,General
Who had a Christmas No 1 with 'There's No-One Quite Like Grandma'' ,St Winifred School Choir ,General
What Is A Female Goat Called? ,A Nanny ,General
"Who directed the films, Mrs Miniver, Ben Hur and Funny Girl",William wyler,General
What type of fish is in an omelette Arnold Bennett? ,Smoked haddock ,General
Mycophobia is the fear of,Mushrooms,General
Who rehashes her triumphs and tragedies in the book Who's Sorry Now,Connie,General
What is the capital of El Salvador,San salvador,General
The chief food for more than half the people in the world is ____,Rice,General
Who sang 'god told abraham kill me your son. abe said man you must be puttin' me on',Bob dylan,General
Kinpaku-iri sake contains what unusual ingredient,Flakes of gold,General
The paraclete is another name for which Christian religious item,The Holy Spirit,General
What is spain's biggest source of income,Tourism,General
Nadine Gordimer was awarded the Nobel Prize for literature in which year,1991,General
"In which country is Tobruk, scene of heavy fighting during WW2",Libya,General
From which country did the astromomer Tycho Brahe come,Denmark,General
A medicine that hastens the emptying of the bowels is called a ________.,Laxative,General
"After The Fire made ""Der Kommissar"" popular, but which eighties musician performed it originally?",Falco,General
What us state is sixth alphabetically,Colorado,General
David Cook became famous as who,David Essex,General
Which Contribution To World Music Was Invented By Robert Hope Jones?,The Jukebox,General
What is a group of this animal called: Beaver,Colony,General
How many gallons are there in a firkin? ,Nine ,General
Where is the only digital rolex watch in the world,Wimbledon centre  court,General
"What color top hat does jiminy cricket sport, in pinocchio",Blue,General
In El Monte California its illegal for who/what to sleep in bathtub,Horse - unless ridden,General
The Green Jacket is presented to the winner of which event? ,US Masters ,General
Zima iz made in thiz United Statez city.,Memphis,General
The Finest Strands Of Pasta Are Known As What ,Vermicelli ,General
Which food product did Henry Cooper advertise in 1984,Shredded wheat,General
What does a heliologist study (the),Sun,General
Who wrote the song 'See My Baby Jive',Roy wood,General
"In Greek mythology, dione was the mother of ______",Aphrodite,General
"The alcohol found in wine, beer & liquor is known as grain alcohol or what",Ethanol,General
Who is Bibendum better known as?,The Michelin Man,General
Willie What do table tennis players change after five points,Service,General
What is the branch of medicine dealing with curing by operative procedures,Surgery,General
What was Max Headroom's network number ,23 ,General
"Precocious Brats 2000 Hit ""Big Girl"" Featured Which Comedy Duo",Kevin & Perry,General
What is the Great Smoo,Scotland's largest cave,General
The white house had a telephone before it had an indoor ______,Bathroom,General
What is the chemical symbol for gold,Au,General
"In ""Spaceballs"" what does the bumper sticker say on the back of Lonestar's ship?",I love Uranus,General
Who painted 'Christ in the Carpenter Shop'?,John Everett Millais,General
What is a male swine called (giggle no ex boyfriends names___),Boar,General
"Which Panamanian boxer's nickname, translated into English, means ""hands of stone"" or ""stone fists""",Roberto duran,General
What is the largest land bird in europe,Bustard,General
On A Movie Set What Is The Primary Job Of The Foley Artist,To Add Sound Effects,General
What is the Capital of: Latvia,Riga,General
On which mountain did Moses receive the Ten Commandments?,Sinai,General
Where does the island of Surtesy lie,Off iceland,General
In the Bible who sent out a dove to find land ,Noah ,General
"Whose Version Of ""My Way"" Had A Perhaps Poignant Release Late In 1977",Elvis Presley,General
Who owns corfu,Greece,General
The President of Gabon banned the use of what word in country,Pygmy,General
"The sea lion can swim 6,000 miles, stopping only to __________",Sleep,General
Which Crime Did Sirhan Sirhan Say He Had No Knowledge Of But Was Later Executed For In 1969 ,Bobby Kennedy Assasination ,General
Who sang Puff The Magic Dragon?,"Peter, Paul and Mary",General
What was a Pikelhaube used in WW I,Spiked German Helmet,General
"What is the nickname for New Orleans, la.",Crescent city,General
"Who composed the opera ""Boris Godunov""",Moussorgsky,General
The Bear and the Dragon is the last novel by which writer,Tom clancey,General
"With Their Album ""That Compact Disc By"" Who Are Crofts, Harry And Williams",Oceanic,General
“ St Georges Day ” Who We All Know Is Patron Saint Of England But Where Was He Born.,Turkey,General
What countries highest award is The Order of the Elephant,Denmark,General
There are over 130000 species of what on earth,Butterflies,General
And which animals penis is prehensile,Dolphins,General
What do the italians call munich,Monaco of bavaria,General
"In Greek mythology, what were Medusa, Stheno and Euryale collectively known as",The gorgons,General
What country has the most elephants,Tanzania,General
What does the abbreviation a.m. stand for?,Ante Meridian,General
What Colour flag indicates a fair throw in the shot put? ,White ,General
Ashton In Northamtonshire Holds An Annual World Sporting Event In What Sport,Conkers,General
"Where was the Armistice, between the Allies and Germany, signed on the 11th November 1918",Compiegne,General
"Glen Miller Received The First Ever Golden Record Award, For Which Single",Chattanooga Choo Choo,General
The telephone country code 82 would connect you with,Korea,General
How many times did Ray Reardon win the snooker world championship? ,6 ,General
What Do The Initials RCA Stand For,Radio Corporation Of America,General
"On the 1976 release, who 'wanted to fly like an eagle'",Steve miller band,General
Which Female Trio Won 5 Grammy Awards In 2007?,The Dixie Chicks,General
In MASH what is Radars favourite drink,Grape Knee High,General
In ancient Rome what was the tabularium,Hall of Public Records,General
Deep freezing of bodies of people who have died of an incurable disease in the hope of a future cure,Cryonics,General
In what country is Mandalay?,Myanmar (formerly known as Burma),General
What is the name used to describe materials that can be broken down by nature,Biogradable,General
Mother what is the real name of the painting 'whistler's mother',Arrangement in,General
A young what is called an Eyas,Hawk,General
What was the first song played on armed forces radio during operation desert shield,Rock the casbah,General
Who was the last king of france,Louis philippe,General
Which Country Has The Most Countries Bordering It,China (16),General
Which country did St Nicholas come from? ,Turkey ,General
Who won the 1990 Nobel Peace Prize,Gorbachev,General
Which Country Invented The Kilt,France,General
Which Team Defeated The World Champions Argentina In The Opening Game Of 1990 Football World Cup? ,Cameroon ,General
In Star Wars George Lucas modelled the Emperor on who,Richard Nixon,General
Did it my way what is the capital of kentucky,Frankfort,General
A Dining Chair With Arms Is Known As A What ,Carver ,General
"If you were offered a 'spotted dick' after Christmas dinner, what could you expect? ",A Steamed Pudding ,General
“The Man Who” Was The Second Album For Which Band?,Travis,General
Alfred White was a famous author under which name,James Herriot,General
Hippophobia is a fear of ______,Horses,General
In Biker Slang what is a Coupon,Traffic Ticket,General
In which popular 1950s film is a character played by Audrey Hepburn given 24 hours to do as she pleases in the eternal city ? ,Roman Holiday ,General
Who signed the Magna Carta at Runnymead,No One - John sealed it illiterate,General
Name the Beatles first LP released in 1963,Please-please me,General
How many pieces of bun are in a Mcdonald's Big Mac ,Three ,General
"What goes with ruby, emerald & sapphire to make up the world's most valuable gems?",Diamond,General
What is the most extensively grown & eaten food,Wheat,General
What instrument in an automobile measures distance travelled,Odometer,General
What type of lettuce should be used in a classic Caesar Salad ?,Romaine,General
Who wrote 'The Rose Tattoo'?,Tennessee Williams,General
"In the television comedy series, what type of animal did Manuel think his pet rat Basil was",Siberian hamster,General
"Who Hat A Hit With ""Mah Na Mah Na""",Piero Umiliani,General
What Sport Is Played By The Chicago Bulls ,BasketBall ,General
Formal invocation of the divine blessing upon people or things,Benediction,General
What was Hebe the goddess of,Youth,General
What is the Capital of: Senegal,Dakar,General
"The fastest animal an earth, if you try to get them to chase a mechanical rabbit, they will figure out to stop, face the other way & wait for the rabbit to lap",Cheetah,General
What was Queen Victoria's first name,Alexandria,General
Name The Youngest And Oldest Members Of England's 2006 FIFA World Cup Squad ,Theo Walcott & David James ,General
"A style that emerged in the 1970s characterized by references to and evocations of past architectural styles, particularly the classical tradition. It is frequently colorful and wittily ornamentive.",Postmodernism,General
What Was The Tomato's Original Name? ,Love Apple ,General
"Barrier reef What famous writer was born May 25, 1803",Ralph waldo emerson,General
Who was the only man to knock out Muhammad Ali in a heavyweight title fight,Larry holmes,General
On What Sport Was john Arlott A Noted Commentator ,Cricket ,General
Of Which Settlement Did Local People Invite Sir Francis Drake To Become King ,San Francisco ,General
What is a Dwarf Goby,Worlds smallest true fish,General
The fable The Hare and the Tortoise -  what animal judges race,The Fox,General
Where were arabic numerals first used,India,General
What company made PacMan? ,Bally Midway ,General
Which company produces the Sintra car,Vauxhal,General
In the man from UNCLE what does UNCLE stand for,Utd. Net. Com. Law Enforcement,General
Who's the lead singer of simply red,Mick hucknall,General
Two thirds of the worlds geysers are found where,Yellowstone Park,General
Name Any Three Of The Four Members Of The Ramones (PFE),"Joey, Dee Dee, Johnny, Tommy",General
In France what would you buy in a Boulangerie,Bread,General
What state is 'the gopher state',Minnesota,General
What job did Agatha Christies husband do,Archaeologist,General
What is the longest venomous snake?,King cobra,General
"Barbara, Carignan, Cinsaut, and Nebbilo are verities of what",Italian wine grapes,General
Nobody Does it Better was sung in which Bond film,The Spy Who Loved Me,General
What was the full name of Dr Henry Jekyll's alter ego,Edward Hyde,General
OB is the international aircraft registration letters what country,Peru,General
What was the first version of microsoft windows to have networking capabilities,Windows for workgroups,General
What did Charles Conrad of Apollo 12 become in November 1969,Third man on the moon,General
The cob nut is the fruit of what tree,Hazel,General
Who patrols Gotham City?,Batman and Robin,General
From which film do we get the song 'White Christmas'' ,Holiday Inn ,General
Of which African country is Lilongwe the capital,Malawi,General
What is the capital of The Bahamas,Nassau,General
"Who Recorded The Albums ""Into The Fire"" & ""Waking Up The Neighbours""",Bryan Adams,General
Dense sea-water swamps along coasts of hot countries are called ________.,Mangroves,General
Which European country has the highest population density?,Monaco,General
What ability has the silkworm moth lost through domestication,Flight,General
Molysmophobia is the fear of,Dirt contamination,General
The Oedipus complex is the sexual love of a son for his mother. What is the equivalent complex of a daughter's sexual love for her father called,Electra complex,General
Who owns Weight Watchers?,Heinz Foods,General
The RAF Red.Arrows have used British Aerospace Hawks since 1980. Which aircraft did they use prior to this date,Folland gnats,General
This fruit has its seeds on the outside.,Strawberry,General
"In 1994, Who Returned To Hello Dolly For It's 30th Anniversary Revival",Carol Channing,General
What was andrew jergens' profession,Lumberjack,General
"Winner of four Oscars, which film featured the characters Joe Buck and Ratso",Midnight cowboy,General
What european city is served by sheremetyevo and vnukova airports,Moscow,General
What Colour Are Holly Berries ,Red ,General
Which river made The Grand Canyon ?,Colorado,General
"Who was bette davis' female co-star in hush, hush sweet charlotte",Olivia de,General
"In painting, what is a Maulstick",Stick to steady the hand,General
What animals does a hippophobe fear,Horses,General
Name the raven in George Orwell's Animal Farm,Moses,General
What are formed by Orogeny,Mountains,General
"Which novelist's latest chiller is called ""Bag of Bones""",Stephen king,General
In which county is Berwick-Upon-Tweed? ,Northumberland ,General
In which field did Wayne Sleep achieve fame,Ballet,General
By what name is Beethoven's sixth symphony known?,The Pastoral Symphony,General
What does Stet mean to a printer,Let the Original stand,General
Which Spanish painter has first exhibition at 16 - also 4 year blue,Pablo Picasso,General
What is the capital of virginia,Richmond,General
In the Bible Cain built a city named after his son what,Enoch,General
Where Was The Roman's First Colony Based In England? ,Colchester ,General
What was the name of Abraham Lincolns dog Stabbed to death,Fido,General
Heavy material stabilizing a ship,Ballast,General
"An adverb can modify a verb, an adjective, or ______",Adverb,General
Which Grand Slam tennis event is played on a clay surface?,French Open,General
Son Of My Father Is Credited As Being The First Song Ever To Feature Which Instument,A Synthesizer,General
Who wrote the book on which the Oscar winning film 'The Godfather' was based,Mario puzo,General
In what 1967 film did gene hackman earn his first oscar nomination,Bonnie,General
"Wrote the songs for ""Joseph and the Amazing Technicolor Dreamcoat""",Andrew lloyd webber,General
"What Disney film features the song ""Give a little Whistle""",Pinocchio,General
Where in the US by law do you not have to pay taxes,An Indian Reservation,General
Which ultimately disgraced person was 'Surveyor of the Queen's Pictures' until 1972,Anthony blunt,General
Buckroe Beach Virginia illegal put what in someone's swimsuit,A Dead Fish,General
One third of Taiwanese funeral processions include what,A stripper,General
Which kitchen appliance was invented by fred waring,Blender,General
How long must the first word in a Scrabble game be,2 letters,General
What salad vegetable would you be eating if you were having a 'French Breakfast',Radish,General
Board game with pieces moved according to throw of dice,Backgammon,General
In 1952 The Airfix Company Produced Their First Injection Moulded Construction Kit Of Which Famous Ship,The Golden Hind,General
Evangeline Booth became the first woman general in what army,Salvation Army,General
Who was the first woman to be elected to the House of Commons?,Countess Markewicz,General
In 1820 what was taxed in Missouri,Bachelors,General
"Who wrote ""the life and opinions of tristram shandy, gent""",Laurence sterne,General
Fuel especially methane poduced by fermentation of organic matter,Biogas,General
In Which British City Did Body Shop Founder Annita Roddick Open Her Very First Store,Brighton,General
Name Lloyd Bridges Two Sons ? ,Jeff & Beau ,General
Whose novels include 'The Joy Luck Club' and The Kitchen God's Wife,Amy tan,General
What is a piece of shallow saltwater seperated from the deeper sea by coral or sand called? ,A Lagoon ,General
Who had a No. 1 hit record in 1965 with 'I'm Alive',The hollies,General
Marley what did actor john wayne win from rudd weatherswax in a poker game,Lassie,General
Eric Arthur Blaire was the real name of which author,George Orwell,General
In what country does the cow tree grow - sap looks tastes milk,Venezuela,General
"Who sang the song ""Pretty Woman?""",Roy Orbison,General
How many herrings are in a Warp ?,Four,General
Which country had The Dauphin as a ruler,France,General
From Which Country Did The USA Buy The Virgin Islands In 1973,Denmark,General
Who Had A Hit In 1985 With Walking In The Air,Aled Jones,General
How was Mark Feld better known in the 1970s when he had four number one hits with his band,Marc bolan,General
What is the capital of Macedonia ?,Skopje,General
In Norse mythology Odin traded an eye for What,Wisdom,General
What is it called when a football team loses possession of the ball due to a misplay,Turnover,General
Which Sport Is Often Termed As (The Sport Of Kings) ,Horse Racing ,General
"Which city is directly northwest of Windsor, Ontario",Detroit,General
What is a gurdwara,A Sikh temple,General
Sinophobia is the fear of,"Chinese, chinese culture",General
"Who wrote the book ""Computer Power & Human Reason""",Joseph weizenbaum,General
Hylephobia is the fear of,Materialism,General
According to his business card what job did Al Capone do,Sell second hand furniture,General
In 1964 A Power Cut Ruined The Opening Night Of Which Event,The Launch Of BBC2,General
What Was The Former Name Of Kampuchea ,Cambodia ,General
"What was the name of He-man's legless,wizard friend?",Orco,General
Who Won BBC Sports Personality Of The Year In 2006 ,Zara Phillips ,General
On what river is the capital city of Canada,Ottawa,General
"This female artist enjoyed sucess on both popular and country & western stations with such tunes as ""Let Me Be There"" and ""Have You Never Been Mellow.""",Olivia Newton-John,General
What is the brightest star always in the Northern sky,Vega,General
Name given to a fine woollen cloth,Barethea,General
What are the stinging cells of a man of war called,Nematocysts,General
Which South American country has borders only with Brazil and Argentina,Uruguay,General
What is the most common sexual fantasy act,Oral Sex,General
The closure of which British nuclear re-processing plant was announced in 1998,Dounreay,General
Which West Indian Fast Bowler Died In 1999 Aged Just 41 ,Malcolm Marshall ,General
The title of whose book translates as my struggle,Adolf Hitler,General
How many stars are there on the New Zealand flag?,Four,General
How many lashes did jesus receive,39,General
Who Is Thomas Jones Woodward Better Known As,Tom Jones,General
"In the oil industry, what do the letters VLCC mean",Very large crude carrier,General
Eleutherophobia is a fear of _______.,Freedom,General
What country is Mt Etna in?,Italy,General
"When ocean tides are at their lowest, they are call what",Neap tides,General
Which plant is known for attracting hummingbirds?,Hibiscus,General
"Who played the best friend of Sarah Jessica Parker in ""Girls Just Wanna Have Fun""?",Helen Hunt,General
The Obvious Child Was A 1990 Hit For Whom,Paul Simon,General
Who played the first James Bond?,Sean Connery,General
What canadian professional snooker player is nicknamed the grinder?,Cliff thorburn,General
What is the square root of one quarter,One half,General
September should be seventh month by name why is it ninth,Its 7th year used to start in March,General
In dry measure 16 pints make up a what,Peck,General
How does Wonder Woman control her invisible airplane?,Mental powers,General
What is the flower that stands for: cheerfulness under adversity,Chrysanthemum,General
How Many Legs Does A Wood Louse Possess? ,14 Legs ,General
"Whose 1980 Debut Album Included The Song ""Thankfully Not Living In Yorkshire It Doesn't Apply""",Dexy's Midnight Runners,General
In which Shakespeare. play does Lancelot Gobbo appear,The merchant of venice,General
"Which Gloucestershire town, famous for its abbey, lies on the confluence of the Severn and Avon",Tewkesbury,General
In which sport would you hear the term Intente,Jai Alai – Players Manager,General
Mithra is the persian god of ______,Light,General
Lampedusa is a small island lying between Malta and the coast of which North African country,Tunisia,General
What UK gentleman's club first in 1891 to admit lady members,Reform club,General
"Nuclear membrane, cytoplasm, and nucleus are parts of a(n) __________.",Cell,General
The Single “Respect Yourself”  Was Released In The 1990’s By Which Die Hard Music Lover,Bruce Willis,General
Ranidaphobia is a fear of ______,Frogs,General
What record did Bill Haley and the Comets release in 1955,Rock around the clock,General
Where is 'old faithful',Yellowstone national park,General
Which Act Gave People Temporary Release From From Prison To Prevent Starvation? ,The Cat & Mouse Act ,General
Who accused lancelot of sleeping with guinevere,Gawain,General
What is a group of this animal called: Caterpillar,Army,General
What does a Jingling Johnny do in Australia,Manually shear sheep,General
"Name the sitcom that featured Judd Hirsch, Andy Kaufman, Tony Danza and Danny Devito.",Taxi,General
Which coin weighs exactly one Troy ounce,Krugerrand,General
In Kentucky a man cannot purchase what without his wife,A Hat,General
What does a palaeontologist study ,Fossils ,General
What is sometimes added to softdrinks to make them sweeter,Coal,General
What animal's milk is more than 54% fat,Humpback whale,General
Which WW2 Norwegian collaborator's name became synonymous with treachery,Quisling,General
Domingo is Spanish for what,Sunday,General
What is the principal river of Ireland,Shannon,General
What are the surnames of the two men who determined the structure of DNA,Crick and watson,General
"ON Beverly Hills 90210,where did the Walshes live before they moved to Beverly Hills?",Minnesota,General
"Who Had A Hit In 1996 With ""Wannabe""",The Spice Girls,General
What is the colour of the italian liqeuer galliano,Yellow,General
Who Had A Hit In 1984 With Dancing In The Streets,Shalamar,General
Who was the Christian missionary portrayed in Chariots of Fire,Eric Liddle,General
"Who Had A Hit With The Song ""Don't Pay The Ferryman""",Chris De Burgh,General
"What character did george burns play in 'oh, god'",God,General
Name The Folk Group That Gerry Rafferty & Billy Connolly Were In,The Humbledums,General
What is the flower that stands for: recall,Silver-leaved geranium,General
"Prince George of England and his brother, Prince Albert Victor, witnessed this legendary ghost ship in 1881.",The Flying Dutchman,General
Irrumation is what sexual practice,Fellatio - Blowjob,General
Israel occupied the West Bank.  It belonged to _______.,Jordan,General
In what Australian state would you find Maryborough,Queensland,General
"On clothing, what does the symbol of a circle inside a square indicate",Can be tumble dried,General
What type of bullet was named after an arsenal near Calcutta,Dum dum,General
What does the placement of a donkey's eyes enable it to see,All four feet at,General
Who was the original voice of Mickey Mouse,Walt disney,General
In which Dickens novel does the character Fezziwig appear,Christmas Carol – Scrooges Boss,General
As fit as a ______,Fiddle,General
In Chicago its illegal to fish wearing what,Your Pyjamas,General
"A __________ focuses its eye by changing the angle of its head, not by changing the shape of the lens of the eye, as humans do.",Horse,General
What is the capital of Andorra ?,Andorra la Vella,General
In mathematics which prefix refers to 10 to the power of minus 9,Atto,General
Part of the human body can expand 20 times its normal size,Stomach 0.5 litres to 5 litres,General
What is missing from a navel orange,Seeds,General
What is a Merkin - There are two possible correct answers,Artificial Vagina – Pubic Wig,General
What marlon brando film was widely banned,Last tango in paris,General
What is the mascot of the US naval academy?,Goat,General
What did david stirling found,Sas,General
Who is the tallest telletubbie,Tinky Winky,General
In what precinct did Barney Miller work,12th,General
"He was condemned in Hades to forever push a boulder uphill, only for it to come rolling down before it reached the top.",Sisyphus,General
What is a wallaby,Kangaroo,General
U.S. captials New Hampshire,Concord,General
Who would use or what are Tittums,Bellringers changes,General
Where Was El Grecho Born ,Crete ,General
Who was the 1958 Cha-Cha champion of Hong Kong,Bruce Lee,General
In what country is the highest point in South America,Argentina,General
Swine is a Chinese brand name of which food,Chocolate,General
A movement of the 1960s and 1970s that emphasized the artistic idea over the art object. It attempted to free art from the confines of the gallery and the pedestal.,Conceptual art,General
Zane Grey the western writer had what initial profession,Dentist,General
Morello Is Known As Which Variety Of Fruit,Cherry,General
What Is The Best Selling Album Of All Time Anywhere,Michael Jackson's Thriller,General
Who died in a porsche spyder,James dean,General
What country's entire population was condemned to death by the Spanish Inquisition,The Netherlands,General
Which town in Strathclyde was created a new town in 1955? ,Cumbernauld ,General
What is absinthe traditionally flavoured with,Wormwood,General
What Was Epic Records First Million Selling Single (Sold Around 6 Million),Careless Whisper,General
A __________ can fall from a 5_story building without injury.,Rat,General
What is the study of the earth's physical divisions termed?,Geography,General
Where Are The Atlas Mountains ,"Algeria, North Africa ",General
Dove where is most of the vitamin c in fruits,Skin,General
Name the sport with Valentino Rossi as a leading competitor? ,Motorcycling ,General
In what professional sport did bob hope participate as packy east,Boxing,General
What Was Jamaican Singer Barry Biggs Highest Entry Making No.3 In 1976,Sideshow,General
"In egyptian mythology, who married two of her brothers",Cleopatra,General
What Was Anne Frank Famous For? ,Writing A Diary About Her Hide From The Germans In WW2 ,General
Who owned the newspaper in Lou Grant - Nancy Marchand,Mrs Pyncheron,General
Who Released The 70's Album Entitled Pretzel Logic ,Steely Dan ,General
The small tree Camellia Sinensis provides us with which digestible product,Tea,General
The W H O recons there are 100 million what each day,Sex acts,General
"Who said ""If a lie is told in the Whitehouse Nixon gets a royalty""",Richard Nixon,General
What is the capital of Idaho?,Boise,General
Who sang No More Heroes? ,The Stranglers ,General
Which British Guitarist Fronted The Mahavishnu Orchestra,John McLaughlin,General
What entertainment product did Nintendo make before entering the video game business?,Playing cards,General
"February 18, 1930 marks the first flight by a __________ in an airplane.",Cow,General
Which book by Peter Wright did Margaret Thatcher try to supress,Spycatcher,General
What is the chemical symbol for curium?,Cm,General
During which month is the longest day in the Southern hemisphere?,December,General
Name only sports team to play professionally seven continents,Harlem Globetrotters,General
What is the Capital of: Lithuania,Vilnius,General
"In which sport or game is the term ""rook"" used?",Chess,General
What is the basic ingredient of the Indonesian dish Nasi Goreng? ,Rice ,General
What is the longest river in Australia?,Darling,General
What does a Zamboni do,Machine cleans ice hockey games,General
What percentage of the Earth's crust is salty,92,General
"Which American Blues singer originally recorded ""Got my Mojo Working""",Muddy waters,General
In Bavaria what is defined as a staple food,Beer,General
As what is Beethoven's piano sonata in C-sharp minor more commonly known,The moonlight sonata,General
What Is The Ginger Like Root Crop Associated With Thai Cooking ,Galangal ,General
How many children did Adam & Eve have,Three,General
On what sea is the Crimea?,Black Sea,General
"The three buildings of the Acropolis are the Propylaea, the Erectheum, and the _________.",Parthenon,General
What does M.A.S.K. stand for?,Mobile Armoured Strike Kommand,General
Animals and plants which produce light are said to be:,Bioluminescent,General
Of what is petrology the study,Rocks,General
In France what animal is specially trained to sniff out truffles,Pig,General
On what do honeybees have a type of hair?,Eyes,General
Which acid is found in yoghurt,Lactic,General
What did marconi transmit across the atlantic,Radio signals,General
How Many Of The Original 5 Members Of The Spice Girls Have Not Had A True Solo No.1 Single? (Disregard Any Duets Or Collaborations),"Mel B, Victoria (2)",General
What Is The Capital Of Ethiopia Called ,Addis Ababa ,General
Collective nouns - A Troubling of what,Goldfish,General
What is the name given to the dish of prunes wrapped in bacon,Devils on horseback,General
In 1955 Tim Berners Lee Invented something fantasic What was It ,World Wide Web ,General
"Giovannie in the opera 'don giovanni', who was leporello",Servant,General
What is the capital of Niger ?,Niamey,General
For what principal purpose are UHF radio waves used,Transmission of television signals,General
USSR saying No ugly women in world just shortage of what,Vodka,General
What is the fear of mushrooms known as,Mycophobia,General
What was the full name of the butler in soap - later spin off,Benson Dubois,General
Where would you find an ideo locator,Map - You are here arrow,General
What year was film introduced to replace glass in making photographic negatives,1891,General
Which Apollo space mission put the first men on the moon ?,Apollo 11,General
Which City Was Formerly Called (New Amsterdam) ,New York ,General
What is the study of insects,Entomology,General
According CIA what language is most common in Afghanistan,Persian,General
"Who recorded such songs as 'toys in the attic' and 'angel', and also did the music for the film 'armageddon'",Aerosmith,General
Which Football Team Plays At The Baseball Ground ,Derby County ,General
From A Distance Was A Hit In 1990 & 1991 For Whom,Bette Midler,General
__________ and short_tailed shrews get by on only two hours of sleep a day.,Elephants,General
What century saw the War of the Roses,The 15th century,General
Where was Budweiser first brewed ,St Louis ,General
"Who Recorded The Albums ""Non Stop Erotic Cabaret"" And The ""Art Of Falling Apart""",Soft Cell,General
What is the fear of glass known as,Nelophobia,General
In what play do we follow Aaron a Moor beloved of Tamora,Titus Andronicus,General
In what city is the Smithsonian Institute?,Washington,General
As what was Taiwan formerly known?,Formosa,General
This is the Southeast Asian method of dying fabric using wax to create designs?,Batik,General
"Jimmy Young, The Righteous Brothers, Robson & Jerome. Who Comes Next?",Gareth Gates,General
Label for person whose i.q is 110-120,Superior,General
Where did George of the Jungle live?,Imgwee Gwee Valley,General
"The wrist, or the wrist bones",Carpus,General
The three toed sloth only does it every 10 days - what,Defecate - or crap,General
Van gogh what does oestrogen protect against,Heart attacks,General
How does paella get its name,From cooking pan,General
What books original title was Murder in the Calais Coach,Murder on the Orient Express,General
What is Dennis the Menace's last name?,Mitchell,General
What science deals specifically with plant & animal life in the sea,Marine biology,General
What date is the 'ides' of march,Fifteenth,General
What's a bee's home called,Hive,General
"The film ""Crouching Tiger, Hidden Dragon"" takes place in which dynasty (- the ' )",Ching,General
Which dancer died in 1927 strangled by scarf on car wheel,Isadora Duncan,General
What lives in a holt,An Otter,General
What animals name translate from Arabic as He who walks fast,Giraffe – from Xirapha,General
__________ can clock an amazing 31 mph at full speed and cover about 3 times their body length per leap.,Kittens,General
Who was the son of Zeus and Maia - Gods Messenger,Hermes,General
Who had 60's hits with 'Glad All Over' & 'Bits & Pieces',Dave Clark Five,General
Who started his film career as Anglo Saxton type 2008 in 1930s,David Niven,General
What does a Coprophobe fear,Crap - Shit - Faeces,General
"What was the maiden name of Wallis Simpson, for whom Edward VIII abdicated in 1936? ",Warfield ,General
How many cells die in the human body every minute,300000000,General
French farmers get help from this barnyard animal to dig out truffles.,Pig,General
What's most commonly used password on computer systems,Password,General
What yummy snack is used in the construction of dynamite,Peanuts,General
Frank Hornby Found Fame As The Founder Of Hornby Model Railways & Dinky Toys But Which Other Famous Very Toy Brand did He I(nvent And Patent In 1907,Mechano,General
Autolycus - accomplished invisible thief Greek myth whose son,Hermes,General
What hath God Wrought was first message sent by Who 1844,S Morse Washington to Baltimore,General
"The film ""High Society"" was a musical remake of which 1940 film",The philadelphia story,General
Who did Perseus turn into stone with the Gorgons head,Atlas,General
"Wheels Cha Cha & ""March Of The Mods"" Were Hits For Which Society Band Leader",Joe Loss,General
Who starred as Rocky Balboa,Sylvester Stallone,General
What U.S. city is named after Saint Francis of Assisi,San francisco,General
What was Michelangelo's only signed sculpture,The Pieta,General
"Any free-moving liquid in outer space will form itself into a sphere, because of it's surface ______",Tension,General
In USA / Britain give finger - What do you show in Thailand,Sole of foot,General
What Does IPA Stand For ,India Pale Ale ,General
What Was The First British Gameshow Adapted For Screening In The USA,The Krypton Factor,General
"Who was known as ""the sultan of swat""",Babe ruth,General
What is the second month of the year,February,General
Which Mediterranean island is named after the soldiers who were skilled in the use of slings,The balearics,General
Which Bird Can Fly Backwards? ,The Humming Bird ,General
"There are approximately 100,000 glaciers in ______________",Alaska,General
"In cornish folklore, what is a bucca",Sea spirit,General
In what city was the first US circus April 3rd 1793,Philadelphia,General
In which film did the Rolls Royce have the number plate AU1,Goldfinger,General
In Italian pasta cusine what does al dente literally mean,To the teeth,General
What tiny vessel connects an artery with a vein?,Capillary,General
On which river is the city of Mandalay situated,Irrawaddy,General
Who does Jamie Lee Curtis play in 'Halloween 20 years later (H20) ,Kere Tate ,General
What is the capital of Ukraine ?,Kiev,General
What fashion designer is credited with the Bob hairstyle,Mary Quant,General
Jeffery Archer wrote Kane and Abel what was the sequel called,The Prodigal Daughter,General
